APP_Libelle_etablissement,Code_postal,Libelle_commune,Synthese_eval_sanit,filtre_activite,Latitude,Longitude,Adress_Rue,Adress_Avenue,Adress_Chemin,Adress_Place,Adress_Boulevard,Adress_Route,Adress_quai
FROMAGERIE BEAUDE,38620,Montferrat,Satisfaisant, Lait et produits laitiers,45.48692,5.590947,1,0,1,0,0,0,0
AL KAWTAR,41170,Choue,Satisfaisant, Viandes et produits carnés,47.997313,0.924624,1,0,1,0,0,0,0
PHIL ET MED,33470,Gujan-Mestras,Très satisfaisant, Produits de la mer et d'eau douce,45.88368247734546,1.8146273876131076,1,0,0,0,0,0,0
METRO FRANCE,69120,Vaulx-en-Velin,Très satisfaisant, Transport et entreposage de denrées alimentaires,45.781248,4.93095,1,1,1,0,0,0,0
GARCONS BOUCHERS,59465,Lille,Satisfaisant, Viandes et produits carnés,50.638633,2.972905,0,0,0,0,0,0,0
DESES GAUTIER,40800,Aire-sur-l'Adour,Très satisfaisant, Œufs et ovoproduits,43.693557,-0.270829,1,0,1,0,0,0,0
SUD VIANDES DISTRIBUTION,31150,Fenouillet,Satisfaisant, Viandes et produits carnés,43.704697,1.396817,1,0,0,0,0,0,0
NGUYEN CHRISTIAN,61250,Lonrai,Très satisfaisant, Autres,48.453836,0.051525,1,0,0,0,0,0,0
ROUJON FRANCIS,75018,Paris 18e  Arrondissement,Très satisfaisant, Autres,48.859,2.347,0,0,0,0,0,0,0
ARMEMENT GABARTH,22950,Trégueux,Très satisfaisant, Produits de la mer et d'eau douce,48.483233,-2.732172,1,0,0,0,0,0,0
SARL LES VIVIERS QUIBERONNAIS,56170,Quiberon,Satisfaisant, Autres,47.483818,-3.118694,0,0,0,1,0,0,0
FROMAGERIE DU PAYS WELSCHE,68650,Lapoutroie,Très satisfaisant, Transport et entreposage de denrées alimentaires,48.143802,7.182424,1,0,0,0,0,0,0
SUD VIANDES DISTRIBUTION,31150,Fenouillet,Satisfaisant, Transport et entreposage de denrées alimentaires,43.704697,1.396817,1,0,0,0,0,0,0
